#@ TextLoader{
#@   header+
#@   sep=comma
#@   col=Fecha:DT:0
#@   col=Features:R8:1-8
#@ }
Fecha,Temperatura_C_ZScore,Humedad_%_ZScore,Velocidad_Viento_kmh_ZScore,Precipitacion_mm_ZScore,Presion_hPa_ZScore,Tipo_de_Clima_Encoded_Double.Lluvioso,Tipo_de_Clima_Encoded_Double.Nublado,Tipo_de_Clima_Encoded_Double.Soleado
"2024-01-01T00:00:00.0000000Z",0.71508863651556753,1.0916974044088905,1.5150630215449694,0.56796183424706514,0.99589023930345499,1,0,0
"2024-01-02T00:00:00.0000000Z",0.83603691668093649,0.97326171377625925,1.1654330934961303,0,1.0102412709752775,0,1,0
"2024-01-03T00:00:00.0000000Z",0.97363097829978618,0.87942290910716181,0.52444489207325862,1.7038855027411954,0.99307553419655059,0,1,0
"2024-01-04T00:00:00.0000000Z",0.97363097829978618,1.0613724765086436,1.1071614388213238,1.7038855027411954,1.0044929295597684,0,1,0
"2024-01-05T00:00:00.0000000Z",1.6783380869162543,0.83393551725679138,0.40790158272364563,1.7038855027411954,1.0104295787113027,1,0,0
"2024-01-06T00:00:00.0000000Z",0.94060176447330712,0.80361058935654439,0.64098820142287172,1.7038855027411954,0.96742603836321051,1,0,0
"2024-01-07T00:00:00.0000000Z",0.73870005375900605,1.3949466834113602,0.8740748201220977,0,0.99993390016126127,0,0,1
"2024-01-08T00:00:00.0000000Z",1.1453946691357844,1.3191343636607427,0.81580316544729126,0,1.0003204265667869,0,0,1
"2024-01-09T00:00:00.0000000Z",0.69195908493015834,0.6671484138054331,0.75753151077248471,0.56796183424706514,0.99692097638485655,1,0,0
"2024-01-10T00:00:00.0000000Z",1.0996174316229954,1.2129971160098783,1.0488897841465172,0,1.0039973828860176,1,0,0
"2024-01-11T00:00:00.0000000Z",0.84278303589334735,0.97326171377625925,0.9906181294717108,1.7038855027411954,1.0075256752031232,1,0,0
"2024-01-12T00:00:00.0000000Z",1.0148090758098283,1.0158850846582732,1.6898779855693888,0.56796183424706514,1.0024116335300151,1,0,0
"2024-01-13T00:00:00.0000000Z",1.2268299653427459,0.62166102195506268,1.6898779855693888,0.56796183424706514,0.99729759185690714,0,0,1
"2024-01-14T00:00:00.0000000Z",0.93722870486710164,1.3494592915609895,0.34962992804883908,0.56796183424706514,1.0072779018662479,1,0,0
